equipment_id,date,days_since_last_service,maintenance_count_30d,maintenance_count_60d,maintenance_count_90d,equipment_class,unit,nmc_within_7d
EQ-00001,2024-01-28,30,0,1,4,aviation,1-3 BN,False
EQ-00002,2024-08-31,175,6,9,11,engineer,BSB,False
EQ-00003,2024-08-10,115,6,11,13,wheeled,HHC,False
EQ-00004,2024-01-22,164,5,11,14,wheeled,HHC,False
EQ-00005,2024-05-19,26,4,9,13,aviation,BSB,False
EQ-00006,2024-12-11,151,3,7,9,tracked,1-2 BN,False
EQ-00007,2024-06-09,,0,6,6,engineer,1-1 BN,True
EQ-00008,2024-09-25,90,3,8,10,wheeled,1-1 BN,False
EQ-00009,2024-01-13,153,3,7,12,engineer,1-1 BN,False
EQ-00010,2024-02-14,169,2,2,7,engineer,1-3 BN,False
EQ-00011,2024-08-27,71,6,11,16,wheeled,1-3 BN,False
EQ-00012,2024-05-11,71,0,3,6,tracked,1-1 BN,False
EQ-00013,2024-05-12,18,7,8,12,aviation,HHC,False
EQ-00014,2024-09-08,111,3,7,12,wheeled,2-1 BN,False
EQ-00015,2024-05-12,,1,5,10,wheeled,2-1 BN,False
EQ-00016,2024-01-10,164,0,0,5,comms,1-2 BN,False
EQ-00017,2024-12-24,148,0,4,9,aviation,2-1 BN,False
EQ-00018,2024-09-01,18,8,9,9,comms,HHC,False
EQ-00019,2024-09-03,92,5,10,12,wheeled,HHC,False
EQ-00020,2024-11-27,88,1,7,10,wheeled,1-3 BN,False
EQ-00021,2024-11-27,11,6,11,12,tracked,2-1 BN,False
EQ-00022,2024-02-24,162,7,12,13,aviation,1-2 BN,True
EQ-00023,2024-01-13,100,1,7,11,engineer,2-1 BN,False
EQ-00024,2024-09-30,5,0,2,2,comms,HHC,False
EQ-00025,2024-01-22,168,8,11,16,comms,DIV CAV,False
EQ-00026,2024-03-17,19,0,5,6,engineer,1-1 BN,False
EQ-00027,2024-08-29,,2,2,3,engineer,1-3 BN,False
EQ-00028,2024-02-19,152,1,7,7,comms,DIV CAV,False
EQ-00029,2024-11-11,52,6,8,13,tracked,1-3 BN,False
EQ-00030,2024-03-02,83,3,9,9,engineer,1-3 BN,False
EQ-00031,2024-02-02,107,2,7,9,wheeled,2-1 BN,False
EQ-00032,2024-05-04,,1,7,12,engineer,BSB,False
EQ-00033,2024-03-21,21,0,0,1,wheeled,HHC,False
EQ-00034,2024-11-29,107,7,12,13,engineer,HHC,False
EQ-00035,2024-05-18,62,2,6,11,engineer,1-2 BN,True
EQ-00036,2024-09-12,161,4,6,9,engineer,1-2 BN,True
EQ-00037,2024-04-08,25,5,11,15,wheeled,2-1 BN,False
EQ-00038,2024-11-16,50,1,7,8,tracked,2-1 BN,False
EQ-00039,2024-09-11,12,0,5,7,tracked,2-1 BN,False
EQ-00040,2024-05-08,117,0,0,5,aviation,DIV CAV,True
EQ-00041,2024-03-31,125,8,8,8,tracked,HHC,False
EQ-00042,2024-08-15,108,3,8,13,engineer,1-2 BN,False
EQ-00043,2024-02-26,61,6,12,13,aviation,1-2 BN,False
EQ-00044,2024-02-07,14,6,7,8,comms,2-1 BN,False
EQ-00045,2024-04-01,118,3,8,10,comms,1-2 BN,False
EQ-00046,2024-06-20,,0,2,3,tracked,2-1 BN,False
EQ-00047,2024-08-22,88,3,5,9,comms,BSB,False
EQ-00048,2024-11-22,148,8,14,15,engineer,BSB,True
EQ-00049,2024-09-24,56,7,13,16,comms,HHC,False
EQ-00050,2024-08-07,112,3,7,8,tracked,1-1 BN,False
EQ-00051,2024-08-01,,7,12,16,wheeled,DIV CAV,True
EQ-00052,2024-07-20,179,1,4,7,comms,DIV CAV,False
EQ-00053,2024-01-07,34,5,7,8,comms,1-1 BN,False
EQ-00054,2024-01-09,42,7,13,17,comms,1-1 BN,False
EQ-00055,2024-08-20,104,2,8,10,comms,HHC,False
EQ-00056,2024-11-20,19,6,11,13,wheeled,1-3 BN,False
EQ-00057,2024-08-06,157,8,12,13,aviation,1-1 BN,False
EQ-00058,2024-11-13,15,8,13,15,aviation,1-1 BN,False
