date,unit,domain,metric_value,threshold,status,records_processed,anomalies_flagged
2025-06-01,BEB 1BCT,ux_design,79.53,80.0,PASS,6415,4
2025-06-02,1-1 IN BN,ux_design,50.83,80.0,PASS,8363,13
2025-06-03,2-1 IN BN,ux_design,80.28,80.0,FAIL,9927,1
2025-06-04,BEB 1BCT,ux_design,75.17,80.0,FAIL,8001,4
2025-06-05,BEB 1BCT,ux_design,76.96,80.0,FAIL,7169,16
2025-06-06,BSB 1BCT,ux_design,68.52,80.0,FAIL,8780,13
2025-06-07,2-1 IN BN,ux_design,96.92,80.0,PASS,6346,11
2025-06-08,BEB 1BCT,ux_design,90.23,80.0,PASS,9539,3
2025-06-09,BSB 1BCT,ux_design,56.69,80.0,PASS,3909,2
2025-06-10,3-1 FA BN,ux_design,79.91,80.0,PASS,4323,6
2025-06-11,1-1 IN BN,ux_design,85.46,80.0,PASS,9569,16
2025-06-12,1-1 IN BN,ux_design,75.99,80.0,PASS,3465,10
2025-06-13,BSB 1BCT,ux_design,68.11,80.0,FAIL,9690,8
2025-06-14,3-1 FA BN,ux_design,92.75,80.0,PASS,6090,19
2025-06-15,3-1 FA BN,ux_design,99.59,80.0,PASS,3437,13
2025-06-16,BEB 1BCT,ux_design,89.19,80.0,PASS,6165,17
2025-06-17,BEB 1BCT,ux_design,74.19,80.0,PASS,9564,11
2025-06-18,BSB 1BCT,ux_design,86.79,80.0,PASS,2051,7
2025-06-19,BSB 1BCT,ux_design,89.16,80.0,PASS,1742,6
2025-06-20,BEB 1BCT,ux_design,70.03,80.0,PASS,9120,19
2025-06-21,1-1 IN BN,ux_design,58.04,80.0,PASS,186,2
2025-06-22,2-1 IN BN,ux_design,73.58,80.0,PASS,1544,2
2025-06-23,3-1 FA BN,ux_design,61.09,80.0,FAIL,718,12
2025-06-24,BSB 1BCT,ux_design,80.7,80.0,PASS,9888,1
2025-06-25,2-1 IN BN,ux_design,82.01,80.0,PASS,3404,16
2025-06-26,3-1 FA BN,ux_design,59.74,80.0,PASS,8464,16
2025-06-27,2-1 IN BN,ux_design,80.76,80.0,PASS,5993,7
2025-06-28,1-1 IN BN,ux_design,98.78,80.0,FAIL,4620,12
2025-06-29,3-1 FA BN,ux_design,83.48,80.0,PASS,3381,16
2025-06-30,1-1 IN BN,ux_design,86.85,80.0,FAIL,1577,17
2025-07-01,3-1 FA BN,ux_design,86.31,80.0,PASS,9650,11
2025-07-02,3-1 FA BN,ux_design,98.16,80.0,PASS,3287,14
2025-07-03,BSB 1BCT,ux_design,78.75,80.0,PASS,6770,16
2025-07-04,1-1 IN BN,ux_design,77.93,80.0,PASS,5670,3
2025-07-05,BEB 1BCT,ux_design,97.84,80.0,PASS,9519,8
2025-07-06,BSB 1BCT,ux_design,98.3,80.0,PASS,4085,10
2025-07-07,BSB 1BCT,ux_design,84.08,80.0,PASS,548,15
2025-07-08,1-1 IN BN,ux_design,62.89,80.0,PASS,3710,7
2025-07-09,3-1 FA BN,ux_design,70.62,80.0,PASS,8876,0
2025-07-10,3-1 FA BN,ux_design,62.41,80.0,FAIL,5703,2
2025-07-11,BEB 1BCT,ux_design,96.57,80.0,PASS,5892,6
2025-07-12,BEB 1BCT,ux_design,63.45,80.0,PASS,3215,15
2025-07-13,2-1 IN BN,ux_design,61.74,80.0,PASS,4448,6
2025-07-14,2-1 IN BN,ux_design,60.14,80.0,PASS,5933,4
2025-07-15,1-1 IN BN,ux_design,55.99,80.0,FAIL,8171,19
2025-07-16,1-1 IN BN,ux_design,88.21,80.0,PASS,792,15
2025-07-17,3-1 FA BN,ux_design,81.03,80.0,PASS,9512,8
2025-07-18,BSB 1BCT,ux_design,59.14,80.0,PASS,8474,8
2025-07-19,BSB 1BCT,ux_design,61.1,80.0,PASS,987,16
2025-07-20,BSB 1BCT,ux_design,73.92,80.0,PASS,8332,11
2025-07-21,BSB 1BCT,ux_design,93.02,80.0,PASS,7590,3
2025-07-22,BEB 1BCT,ux_design,73.0,80.0,PASS,293,6
2025-07-23,BSB 1BCT,ux_design,79.05,80.0,PASS,4354,5
2025-07-24,BEB 1BCT,ux_design,63.14,80.0,PASS,5721,11
2025-07-25,2-1 IN BN,ux_design,74.94,80.0,PASS,6199,11
2025-07-26,BSB 1BCT,ux_design,63.98,80.0,FAIL,2248,18
2025-07-27,2-1 IN BN,ux_design,90.71,80.0,PASS,3963,17
2025-07-28,BSB 1BCT,ux_design,92.82,80.0,FAIL,2550,15
2025-07-29,1-1 IN BN,ux_design,58.83,80.0,PASS,8570,17
2025-07-30,3-1 FA BN,ux_design,89.27,80.0,PASS,9310,18
