date,unit,domain,metric_primary,metric_secondary,threshold_primary,threshold_secondary,sample_size,confidence_interval,trend,records_analyzed
2025-01-01,BEB 1BCT,orsa,80.55,85.38,70.0,75.0,259,0.96,IMPROVING,7308
2025-01-01,BSB 1BCT,orsa,70.59,79.57,70.0,75.0,477,0.98,IMPROVING,3049
2025-01-01,3-1 FA BN,orsa,79.1,88.81,70.0,75.0,100,0.9,DECLINING,26467
2025-01-02,BEB 1BCT,orsa,71.38,78.11,70.0,75.0,156,0.96,IMPROVING,31674
2025-01-02,3-1 FA BN,orsa,76.34,77.31,70.0,75.0,335,0.97,STABLE,25187
2025-01-02,1-1 IN BN,orsa,76.14,77.33,70.0,75.0,365,0.92,IMPROVING,49123
2025-01-02,2-1 IN BN,orsa,84.23,82.91,70.0,75.0,160,0.99,IMPROVING,7633
2025-01-02,BSB 1BCT,orsa,72.7,70.27,70.0,75.0,147,0.92,DECLINING,17302
2025-01-03,BEB 1BCT,orsa,88.49,87.02,70.0,75.0,233,0.96,DECLINING,44597
2025-01-03,BSB 1BCT,orsa,69.95,81.66,70.0,75.0,455,0.92,STABLE,34075
2025-01-03,3-1 FA BN,orsa,71.32,84.0,70.0,75.0,357,0.94,STABLE,21653
2025-01-04,3-1 FA BN,orsa,79.88,73.72,70.0,75.0,173,0.95,IMPROVING,25580
2025-01-04,BSB 1BCT,orsa,77.7,61.83,70.0,75.0,180,0.93,STABLE,30327
2025-01-04,BEB 1BCT,orsa,75.23,79.96,70.0,75.0,67,0.99,DECLINING,2068
2025-01-04,2-1 IN BN,orsa,37.2,77.2,70.0,75.0,204,0.9,IMPROVING,15078
2025-01-05,1-1 IN BN,orsa,86.06,84.96,70.0,75.0,129,0.91,STABLE,39152
2025-01-05,3-1 FA BN,orsa,75.01,86.16,70.0,75.0,203,0.91,STABLE,38294
2025-01-05,BSB 1BCT,orsa,91.99,73.57,70.0,75.0,420,0.93,STABLE,12331
2025-01-05,BEB 1BCT,orsa,49.37,81.26,70.0,75.0,409,0.95,IMPROVING,40009
2025-01-06,1-1 IN BN,orsa,84.55,76.6,70.0,75.0,500,0.97,STABLE,8899
2025-01-06,BSB 1BCT,orsa,80.88,75.81,70.0,75.0,384,0.98,IMPROVING,42542
2025-01-06,BEB 1BCT,orsa,77.02,72.26,70.0,75.0,206,0.95,STABLE,36384
2025-01-06,3-1 FA BN,orsa,65.2,77.18,70.0,75.0,407,0.92,IMPROVING,45147
2025-01-07,BSB 1BCT,orsa,76.54,75.59,70.0,75.0,222,0.91,DECLINING,49844
2025-01-07,1-1 IN BN,orsa,86.54,82.46,70.0,75.0,93,0.94,STABLE,46735
2025-01-07,BEB 1BCT,orsa,79.41,83.15,70.0,75.0,336,0.92,STABLE,43745
2025-01-07,2-1 IN BN,orsa,61.12,75.55,70.0,75.0,426,0.95,IMPROVING,5695
2025-01-07,3-1 FA BN,orsa,73.7,88.44,70.0,75.0,400,0.98,IMPROVING,8374
2025-01-08,BSB 1BCT,orsa,65.2,89.68,70.0,75.0,444,0.93,STABLE,41384
2025-01-08,3-1 FA BN,orsa,84.4,67.02,70.0,75.0,369,0.91,IMPROVING,16301
2025-01-08,2-1 IN BN,orsa,78.61,87.36,70.0,75.0,437,0.97,IMPROVING,8364
2025-01-08,1-1 IN BN,orsa,74.41,74.04,70.0,75.0,367,0.98,STABLE,1900
2025-01-08,BEB 1BCT,orsa,63.01,92.04,70.0,75.0,206,0.94,IMPROVING,22749
2025-01-09,BEB 1BCT,orsa,55.85,76.17,70.0,75.0,330,0.94,DECLINING,10263
2025-01-09,2-1 IN BN,orsa,68.97,68.82,70.0,75.0,242,0.95,DECLINING,35524
2025-01-09,1-1 IN BN,orsa,82.06,81.32,70.0,75.0,195,0.92,DECLINING,41498
2025-01-10,1-1 IN BN,orsa,91.11,84.78,70.0,75.0,389,0.98,DECLINING,24607
2025-01-10,BSB 1BCT,orsa,76.55,78.82,70.0,75.0,494,0.98,STABLE,16149
