date,unit,domain,metric_primary,metric_secondary,threshold_primary,threshold_secondary,sample_size,confidence_interval,trend,records_analyzed
2025-01-01,3-1 FA BN,ai_engineering,66.35,83.84,70.0,75.0,96,0.96,IMPROVING,48838
2025-01-01,1-1 IN BN,ai_engineering,75.33,83.54,70.0,75.0,344,0.91,DECLINING,19733
2025-01-01,2-1 IN BN,ai_engineering,61.82,76.89,70.0,75.0,497,0.9,STABLE,45370
2025-01-02,BSB 1BCT,ai_engineering,67.85,68.96,70.0,75.0,322,0.96,STABLE,1910
2025-01-02,BEB 1BCT,ai_engineering,55.35,68.26,70.0,75.0,431,0.9,STABLE,47045
2025-01-02,3-1 FA BN,ai_engineering,64.22,78.42,70.0,75.0,428,0.96,DECLINING,45831
2025-01-03,BEB 1BCT,ai_engineering,92.54,77.36,70.0,75.0,441,0.95,IMPROVING,12456
2025-01-03,BSB 1BCT,ai_engineering,95.44,86.96,70.0,75.0,313,0.93,IMPROVING,28703
2025-01-04,BSB 1BCT,ai_engineering,82.8,76.88,70.0,75.0,326,0.98,IMPROVING,20009
2025-01-04,2-1 IN BN,ai_engineering,71.96,86.35,70.0,75.0,159,0.9,DECLINING,38279
2025-01-04,BEB 1BCT,ai_engineering,53.67,91.23,70.0,75.0,379,0.95,IMPROVING,31346
2025-01-04,1-1 IN BN,ai_engineering,93.19,70.28,70.0,75.0,79,0.93,DECLINING,31169
2025-01-04,3-1 FA BN,ai_engineering,69.69,86.58,70.0,75.0,52,0.93,DECLINING,13200
2025-01-05,3-1 FA BN,ai_engineering,79.77,89.29,70.0,75.0,128,0.94,STABLE,1452
2025-01-05,1-1 IN BN,ai_engineering,84.8,89.7,70.0,75.0,165,0.94,STABLE,20613
2025-01-05,BSB 1BCT,ai_engineering,58.31,92.7,70.0,75.0,324,0.97,IMPROVING,29742
2025-01-05,2-1 IN BN,ai_engineering,67.83,72.84,70.0,75.0,121,0.93,STABLE,1380
2025-01-05,BEB 1BCT,ai_engineering,59.62,92.51,70.0,75.0,151,0.91,STABLE,3638
2025-01-06,BSB 1BCT,ai_engineering,73.51,81.77,70.0,75.0,391,0.92,STABLE,44597
2025-01-06,BEB 1BCT,ai_engineering,81.0,79.57,70.0,75.0,300,0.95,DECLINING,47813
2025-01-06,3-1 FA BN,ai_engineering,88.93,89.58,70.0,75.0,449,0.98,DECLINING,48578
2025-01-07,2-1 IN BN,ai_engineering,82.9,87.81,70.0,75.0,442,0.96,IMPROVING,45453
2025-01-07,1-1 IN BN,ai_engineering,81.11,72.57,70.0,75.0,355,0.97,STABLE,32469
2025-01-07,BSB 1BCT,ai_engineering,71.6,88.95,70.0,75.0,439,0.94,DECLINING,10993
2025-01-07,3-1 FA BN,ai_engineering,74.0,74.9,70.0,75.0,193,0.97,STABLE,46937
2025-01-07,BEB 1BCT,ai_engineering,75.37,94.83,70.0,75.0,151,0.94,IMPROVING,46950
2025-01-08,2-1 IN BN,ai_engineering,83.84,85.56,70.0,75.0,190,0.99,IMPROVING,28938
2025-01-08,BEB 1BCT,ai_engineering,82.96,80.59,70.0,75.0,492,0.9,STABLE,35404
2025-01-08,1-1 IN BN,ai_engineering,69.1,90.63,70.0,75.0,168,0.92,STABLE,32404
2025-01-09,BEB 1BCT,ai_engineering,68.68,74.64,70.0,75.0,187,0.93,STABLE,47634
2025-01-09,BSB 1BCT,ai_engineering,65.83,83.46,70.0,75.0,74,0.92,IMPROVING,4416
2025-01-10,2-1 IN BN,ai_engineering,79.64,77.99,70.0,75.0,144,0.92,STABLE,24827
2025-01-10,3-1 FA BN,ai_engineering,72.05,83.36,70.0,75.0,392,0.9,DECLINING,9539
2025-01-10,BEB 1BCT,ai_engineering,65.36,91.48,70.0,75.0,235,0.97,DECLINING,35659
2025-01-10,BSB 1BCT,ai_engineering,67.99,76.39,70.0,75.0,191,0.92,STABLE,6716
2025-01-11,2-1 IN BN,ai_engineering,105.49,85.36,70.0,75.0,385,0.97,IMPROVING,47180
2025-01-11,1-1 IN BN,ai_engineering,69.85,81.22,70.0,75.0,329,0.96,STABLE,48536
2025-01-12,2-1 IN BN,ai_engineering,58.52,86.2,70.0,75.0,499,0.97,DECLINING,23763
2025-01-12,BEB 1BCT,ai_engineering,85.34,74.65,70.0,75.0,417,0.91,STABLE,5437
