date,unit,domain,metric_primary,metric_secondary,threshold_primary,threshold_secondary,sample_size,confidence_interval,trend,records_analyzed
2025-01-01,2-1 IN BN,program_management,75.1,81.64,70.0,75.0,363,0.94,STABLE,28166
2025-01-01,1-1 IN BN,program_management,34.66,70.07,70.0,75.0,148,0.94,DECLINING,39069
2025-01-01,BEB 1BCT,program_management,62.31,86.18,70.0,75.0,248,0.97,DECLINING,24853
2025-01-02,BSB 1BCT,program_management,70.19,86.8,70.0,75.0,404,0.91,DECLINING,17180
2025-01-02,3-1 FA BN,program_management,79.46,69.91,70.0,75.0,99,0.99,DECLINING,47422
2025-01-02,2-1 IN BN,program_management,64.71,81.05,70.0,75.0,463,0.97,IMPROVING,48192
2025-01-02,1-1 IN BN,program_management,64.18,90.15,70.0,75.0,333,0.97,IMPROVING,31493
2025-01-03,BEB 1BCT,program_management,62.16,80.15,70.0,75.0,137,0.9,STABLE,37634
2025-01-03,1-1 IN BN,program_management,60.03,66.22,70.0,75.0,294,0.98,IMPROVING,5179
2025-01-03,2-1 IN BN,program_management,73.17,77.32,70.0,75.0,418,0.92,STABLE,48694
2025-01-03,3-1 FA BN,program_management,90.95,81.86,70.0,75.0,270,0.96,IMPROVING,26968
2025-01-04,BSB 1BCT,program_management,71.67,73.55,70.0,75.0,169,0.95,DECLINING,27682
2025-01-04,3-1 FA BN,program_management,84.22,87.84,70.0,75.0,398,0.95,IMPROVING,40950
2025-01-04,BEB 1BCT,program_management,94.01,84.38,70.0,75.0,350,0.91,IMPROVING,41229
2025-01-05,BEB 1BCT,program_management,72.6,67.11,70.0,75.0,177,0.99,IMPROVING,12877
2025-01-05,BSB 1BCT,program_management,102.12,83.39,70.0,75.0,423,0.91,IMPROVING,7170
2025-01-06,BEB 1BCT,program_management,82.09,85.61,70.0,75.0,99,0.93,IMPROVING,47351
2025-01-06,BSB 1BCT,program_management,66.72,82.58,70.0,75.0,96,0.92,STABLE,14146
2025-01-06,2-1 IN BN,program_management,80.11,103.05,70.0,75.0,374,0.91,STABLE,7162
2025-01-06,3-1 FA BN,program_management,72.59,79.76,70.0,75.0,360,0.91,DECLINING,4876
2025-01-06,1-1 IN BN,program_management,72.79,76.73,70.0,75.0,50,0.99,DECLINING,1824
2025-01-07,3-1 FA BN,program_management,67.55,93.47,70.0,75.0,340,0.95,IMPROVING,12297
2025-01-07,BSB 1BCT,program_management,81.3,90.32,70.0,75.0,143,0.95,STABLE,7354
2025-01-08,BEB 1BCT,program_management,80.73,87.73,70.0,75.0,483,0.98,IMPROVING,34248
2025-01-08,3-1 FA BN,program_management,88.17,91.9,70.0,75.0,65,0.96,DECLINING,8882
2025-01-08,BSB 1BCT,program_management,78.65,73.53,70.0,75.0,199,0.91,DECLINING,12823
2025-01-09,1-1 IN BN,program_management,42.11,63.32,70.0,75.0,222,0.98,DECLINING,36912
2025-01-09,BSB 1BCT,program_management,85.33,67.8,70.0,75.0,109,0.96,IMPROVING,23173
2025-01-09,BEB 1BCT,program_management,75.16,84.42,70.0,75.0,468,0.94,STABLE,3725
2025-01-10,1-1 IN BN,program_management,78.02,77.15,70.0,75.0,385,0.93,DECLINING,37896
2025-01-10,BSB 1BCT,program_management,61.83,75.52,70.0,75.0,251,0.97,DECLINING,14168
2025-01-10,3-1 FA BN,program_management,73.68,84.23,70.0,75.0,440,0.92,DECLINING,28939
2025-01-10,BEB 1BCT,program_management,65.38,84.41,70.0,75.0,301,0.9,IMPROVING,22070
