date,unit,domain,metric_primary,metric_secondary,threshold_primary,threshold_secondary,sample_size,confidence_interval,trend,records_analyzed
2025-01-01,BEB 1BCT,knowledge_management,56.85,84.23,70.0,75.0,388,0.97,DECLINING,29680
2025-01-01,1-1 IN BN,knowledge_management,82.26,77.81,70.0,75.0,368,0.97,IMPROVING,3426
2025-01-02,BEB 1BCT,knowledge_management,67.24,88.46,70.0,75.0,388,0.92,DECLINING,44590
2025-01-02,2-1 IN BN,knowledge_management,82.8,67.16,70.0,75.0,103,0.91,STABLE,12543
2025-01-02,BSB 1BCT,knowledge_management,82.93,83.86,70.0,75.0,454,0.95,STABLE,41982
2025-01-02,3-1 FA BN,knowledge_management,48.23,77.19,70.0,75.0,490,0.9,DECLINING,22406
2025-01-03,2-1 IN BN,knowledge_management,90.85,91.09,70.0,75.0,352,0.92,STABLE,23935
2025-01-03,3-1 FA BN,knowledge_management,70.92,64.94,70.0,75.0,83,0.97,DECLINING,43936
2025-01-03,BEB 1BCT,knowledge_management,102.73,80.14,70.0,75.0,416,0.96,DECLINING,23625
2025-01-04,BEB 1BCT,knowledge_management,76.43,74.31,70.0,75.0,282,0.91,STABLE,13501
2025-01-04,BSB 1BCT,knowledge_management,64.95,83.47,70.0,75.0,217,0.95,STABLE,21115
2025-01-04,1-1 IN BN,knowledge_management,75.5,75.79,70.0,75.0,483,0.9,IMPROVING,49670
2025-01-05,1-1 IN BN,knowledge_management,86.38,76.44,70.0,75.0,235,0.96,STABLE,16126
2025-01-05,2-1 IN BN,knowledge_management,65.94,77.72,70.0,75.0,135,0.95,IMPROVING,30039
2025-01-05,BSB 1BCT,knowledge_management,68.98,59.77,70.0,75.0,270,0.94,DECLINING,2466
2025-01-06,2-1 IN BN,knowledge_management,69.88,85.2,70.0,75.0,492,0.91,DECLINING,42401
2025-01-06,BEB 1BCT,knowledge_management,69.67,75.59,70.0,75.0,413,0.98,IMPROVING,17364
2025-01-06,1-1 IN BN,knowledge_management,77.06,80.53,70.0,75.0,235,0.98,STABLE,33531
2025-01-06,BSB 1BCT,knowledge_management,56.13,74.61,70.0,75.0,281,0.93,STABLE,41822
2025-01-06,3-1 FA BN,knowledge_management,86.91,83.43,70.0,75.0,396,0.97,STABLE,25377
2025-01-07,BSB 1BCT,knowledge_management,69.35,80.49,70.0,75.0,478,0.97,STABLE,29454
2025-01-07,2-1 IN BN,knowledge_management,78.6,80.04,70.0,75.0,80,0.97,DECLINING,9037
2025-01-07,1-1 IN BN,knowledge_management,77.71,80.45,70.0,75.0,427,0.97,DECLINING,16063
2025-01-07,BEB 1BCT,knowledge_management,84.77,84.76,70.0,75.0,440,0.98,STABLE,11608
2025-01-08,BEB 1BCT,knowledge_management,81.82,68.99,70.0,75.0,279,0.91,DECLINING,2997
2025-01-08,1-1 IN BN,knowledge_management,78.89,77.18,70.0,75.0,225,0.96,STABLE,6533
2025-01-08,3-1 FA BN,knowledge_management,76.19,82.22,70.0,75.0,281,0.91,IMPROVING,31274
2025-01-08,BSB 1BCT,knowledge_management,72.49,73.01,70.0,75.0,74,0.97,STABLE,24666
