date,unit,domain,metric_primary,metric_secondary,threshold_primary,threshold_secondary,sample_size,confidence_interval,trend,records_analyzed
2025-01-01,1-1 IN BN,software_engineering,67.09,70.33,70.0,75.0,446,0.92,DECLINING,6263
2025-01-01,BEB 1BCT,software_engineering,61.86,78.26,70.0,75.0,51,0.98,STABLE,16302
2025-01-02,2-1 IN BN,software_engineering,51.03,79.96,70.0,75.0,462,0.92,IMPROVING,35618
2025-01-02,3-1 FA BN,software_engineering,59.14,78.88,70.0,75.0,264,0.95,STABLE,27552
2025-01-02,BSB 1BCT,software_engineering,73.74,93.77,70.0,75.0,227,0.98,IMPROVING,3866
2025-01-02,BEB 1BCT,software_engineering,77.96,84.31,70.0,75.0,499,0.93,IMPROVING,44025
2025-01-03,1-1 IN BN,software_engineering,83.94,85.49,70.0,75.0,209,0.96,DECLINING,28779
2025-01-03,2-1 IN BN,software_engineering,103.98,80.51,70.0,75.0,304,0.91,DECLINING,48840
2025-01-03,BEB 1BCT,software_engineering,66.05,72.62,70.0,75.0,77,0.99,IMPROVING,11692
2025-01-03,3-1 FA BN,software_engineering,92.18,84.74,70.0,75.0,103,0.95,DECLINING,39812
2025-01-04,1-1 IN BN,software_engineering,76.09,78.08,70.0,75.0,56,0.92,STABLE,8653
2025-01-04,BEB 1BCT,software_engineering,76.17,93.3,70.0,75.0,304,0.97,DECLINING,31581
2025-01-05,1-1 IN BN,software_engineering,76.89,61.07,70.0,75.0,400,0.96,IMPROVING,48301
2025-01-05,BEB 1BCT,software_engineering,69.54,79.83,70.0,75.0,381,0.93,DECLINING,31582
2025-01-05,3-1 FA BN,software_engineering,79.65,73.57,70.0,75.0,236,0.98,DECLINING,8895
2025-01-05,2-1 IN BN,software_engineering,101.76,89.38,70.0,75.0,224,0.92,DECLINING,11855
2025-01-05,BSB 1BCT,software_engineering,74.3,78.35,70.0,75.0,135,0.95,DECLINING,30074
2025-01-06,BSB 1BCT,software_engineering,77.98,69.37,70.0,75.0,78,0.96,STABLE,8336
2025-01-06,2-1 IN BN,software_engineering,80.35,78.73,70.0,75.0,64,0.95,DECLINING,8278
2025-01-07,2-1 IN BN,software_engineering,54.42,81.63,70.0,75.0,324,0.92,STABLE,15856
2025-01-07,BEB 1BCT,software_engineering,98.84,84.12,70.0,75.0,336,0.98,IMPROVING,12931
2025-01-07,1-1 IN BN,software_engineering,79.51,70.39,70.0,75.0,394,0.97,DECLINING,25008
2025-01-07,BSB 1BCT,software_engineering,77.88,71.25,70.0,75.0,306,0.9,IMPROVING,43685
2025-01-07,3-1 FA BN,software_engineering,73.95,96.09,70.0,75.0,149,0.97,IMPROVING,14977
2025-01-08,2-1 IN BN,software_engineering,77.89,72.36,70.0,75.0,392,0.97,DECLINING,24095
2025-01-08,BEB 1BCT,software_engineering,80.32,74.91,70.0,75.0,391,0.94,STABLE,29998
2025-01-08,1-1 IN BN,software_engineering,70.35,73.16,70.0,75.0,273,0.96,IMPROVING,17115
2025-01-08,BSB 1BCT,software_engineering,44.88,69.28,70.0,75.0,236,0.96,IMPROVING,6861
2025-01-08,3-1 FA BN,software_engineering,66.46,91.74,70.0,75.0,479,0.94,STABLE,10515
2025-01-09,1-1 IN BN,software_engineering,76.2,82.33,70.0,75.0,466,0.96,STABLE,11259
2025-01-09,BEB 1BCT,software_engineering,73.34,85.41,70.0,75.0,433,0.96,DECLINING,36271
2025-01-09,2-1 IN BN,software_engineering,85.47,72.15,70.0,75.0,197,0.95,STABLE,33990
2025-01-09,BSB 1BCT,software_engineering,77.4,80.7,70.0,75.0,204,0.98,DECLINING,28858
2025-01-09,3-1 FA BN,software_engineering,57.38,71.39,70.0,75.0,466,0.9,IMPROVING,4070
2025-01-10,1-1 IN BN,software_engineering,61.29,88.9,70.0,75.0,440,0.97,DECLINING,26436
2025-01-10,3-1 FA BN,software_engineering,71.1,72.28,70.0,75.0,456,0.92,DECLINING,41269
2025-01-10,BEB 1BCT,software_engineering,80.67,75.57,70.0,75.0,331,0.91,IMPROVING,22355
2025-01-11,1-1 IN BN,software_engineering,85.67,75.61,70.0,75.0,443,0.99,STABLE,34132
2025-01-11,3-1 FA BN,software_engineering,81.8,70.4,70.0,75.0,267,0.98,IMPROVING,21975
2025-01-12,2-1 IN BN,software_engineering,70.42,79.09,70.0,75.0,279,0.98,STABLE,7454
2025-01-12,3-1 FA BN,software_engineering,85.71,87.99,70.0,75.0,441,0.95,DECLINING,7452
2025-01-12,BEB 1BCT,software_engineering,69.95,85.21,70.0,75.0,242,0.98,DECLINING,3989
2025-01-12,1-1 IN BN,software_engineering,76.71,65.42,70.0,75.0,286,0.91,DECLINING,26123
2025-01-12,BSB 1BCT,software_engineering,84.98,80.79,70.0,75.0,199,0.94,DECLINING,25235
2025-01-13,BSB 1BCT,software_engineering,79.27,80.67,70.0,75.0,102,0.9,IMPROVING,5007
2025-01-13,BEB 1BCT,software_engineering,81.23,72.09,70.0,75.0,235,0.93,STABLE,43751
2025-01-13,2-1 IN BN,software_engineering,36.29,83.15,70.0,75.0,435,0.92,DECLINING,48360
2025-01-13,1-1 IN BN,software_engineering,80.04,81.36,70.0,75.0,212,0.93,IMPROVING,35739
2025-01-14,2-1 IN BN,software_engineering,73.66,82.98,70.0,75.0,204,0.95,STABLE,47247
2025-01-14,BSB 1BCT,software_engineering,67.67,81.29,70.0,75.0,75,0.91,IMPROVING,22779
2025-01-15,BSB 1BCT,software_engineering,80.66,88.87,70.0,75.0,203,0.99,STABLE,28303
2025-01-15,BEB 1BCT,software_engineering,69.15,81.88,70.0,75.0,278,0.96,STABLE,45773
2025-01-15,1-1 IN BN,software_engineering,78.66,88.79,70.0,75.0,84,0.98,DECLINING,14534
2025-01-15,2-1 IN BN,software_engineering,82.68,78.09,70.0,75.0,330,0.99,STABLE,32187
2025-01-16,2-1 IN BN,software_engineering,84.98,74.71,70.0,75.0,308,0.98,DECLINING,4415
2025-01-16,3-1 FA BN,software_engineering,60.09,86.62,70.0,75.0,65,0.97,DECLINING,35296
2025-01-16,BSB 1BCT,software_engineering,91.04,79.57,70.0,75.0,169,0.92,DECLINING,22928
2025-01-16,1-1 IN BN,software_engineering,78.92,66.38,70.0,75.0,182,0.9,IMPROVING,46043
2025-01-16,BEB 1BCT,software_engineering,52.53,77.64,70.0,75.0,445,0.91,IMPROVING,38860
2025-01-17,1-1 IN BN,software_engineering,94.82,75.85,70.0,75.0,210,0.92,DECLINING,49356
2025-01-17,3-1 FA BN,software_engineering,69.29,87.88,70.0,75.0,427,0.94,DECLINING,31367
2025-01-17,BSB 1BCT,software_engineering,64.08,80.01,70.0,75.0,180,0.91,IMPROVING,39449
2025-01-17,2-1 IN BN,software_engineering,74.2,78.18,70.0,75.0,475,0.97,STABLE,10644
2025-01-17,BEB 1BCT,software_engineering,82.68,72.47,70.0,75.0,490,0.94,IMPROVING,30847
2025-01-18,2-1 IN BN,software_engineering,87.9,97.16,70.0,75.0,125,0.94,IMPROVING,5915
2025-01-18,1-1 IN BN,software_engineering,86.61,67.08,70.0,75.0,383,0.98,STABLE,40763
2025-01-18,3-1 FA BN,software_engineering,85.14,86.4,70.0,75.0,266,0.91,STABLE,11329
2025-01-19,1-1 IN BN,software_engineering,67.27,77.29,70.0,75.0,241,0.92,IMPROVING,28841
2025-01-19,3-1 FA BN,software_engineering,76.45,79.72,70.0,75.0,349,0.98,IMPROVING,13267
2025-01-19,2-1 IN BN,software_engineering,82.43,80.93,70.0,75.0,261,0.99,DECLINING,37018
2025-01-19,BSB 1BCT,software_engineering,115.61,82.37,70.0,75.0,186,0.92,STABLE,18605
2025-01-20,1-1 IN BN,software_engineering,51.31,85.07,70.0,75.0,438,0.9,IMPROVING,6268
2025-01-20,BEB 1BCT,software_engineering,68.62,83.09,70.0,75.0,448,0.9,STABLE,45908
2025-01-20,2-1 IN BN,software_engineering,78.1,80.14,70.0,75.0,348,0.92,IMPROVING,28083
2025-01-20,BSB 1BCT,software_engineering,78.9,75.62,70.0,75.0,193,0.93,IMPROVING,8414
2025-01-20,3-1 FA BN,software_engineering,83.43,73.46,70.0,75.0,338,0.93,STABLE,29392
2025-01-21,BEB 1BCT,software_engineering,77.67,90.14,70.0,75.0,429,0.94,STABLE,18046
2025-01-21,1-1 IN BN,software_engineering,97.97,86.16,70.0,75.0,365,0.97,DECLINING,22302
2025-01-21,3-1 FA BN,software_engineering,87.66,86.87,70.0,75.0,427,0.95,IMPROVING,31278
2025-01-22,BSB 1BCT,software_engineering,79.56,76.38,70.0,75.0,343,0.91,STABLE,15562
2025-01-22,2-1 IN BN,software_engineering,72.83,82.04,70.0,75.0,445,0.95,STABLE,4899
2025-01-22,3-1 FA BN,software_engineering,83.98,86.02,70.0,75.0,264,0.94,DECLINING,22700
2025-01-23,BSB 1BCT,software_engineering,68.07,74.08,70.0,75.0,155,0.95,STABLE,41857
2025-01-23,2-1 IN BN,software_engineering,74.89,69.37,70.0,75.0,61,0.94,IMPROVING,34139
2025-01-23,3-1 FA BN,software_engineering,83.12,73.39,70.0,75.0,467,0.9,DECLINING,33450
2025-01-24,BSB 1BCT,software_engineering,57.98,76.65,70.0,75.0,102,0.95,IMPROVING,39995
2025-01-24,1-1 IN BN,software_engineering,82.38,81.48,70.0,75.0,89,0.98,STABLE,16610
2025-01-24,BEB 1BCT,software_engineering,67.9,75.57,70.0,75.0,327,0.95,IMPROVING,39324
2025-01-24,3-1 FA BN,software_engineering,78.99,96.91,70.0,75.0,228,0.99,IMPROVING,14519
2025-01-25,1-1 IN BN,software_engineering,72.84,81.8,70.0,75.0,464,0.93,DECLINING,22717
2025-01-25,2-1 IN BN,software_engineering,56.99,97.89,70.0,75.0,108,0.96,DECLINING,15827
2025-01-25,BEB 1BCT,software_engineering,84.78,79.56,70.0,75.0,457,0.96,IMPROVING,15813
2025-01-26,BEB 1BCT,software_engineering,75.29,74.0,70.0,75.0,498,0.91,IMPROVING,26828
2025-01-26,3-1 FA BN,software_engineering,89.04,74.79,70.0,75.0,117,0.9,DECLINING,2746
2025-01-26,BSB 1BCT,software_engineering,63.64,90.88,70.0,75.0,325,0.99,IMPROVING,9024
2025-01-26,1-1 IN BN,software_engineering,96.87,94.83,70.0,75.0,187,0.97,IMPROVING,11596
2025-01-26,2-1 IN BN,software_engineering,78.01,78.11,70.0,75.0,449,0.93,DECLINING,26743
2025-01-27,BEB 1BCT,software_engineering,94.57,96.32,70.0,75.0,255,0.92,STABLE,31132
2025-01-27,2-1 IN BN,software_engineering,70.81,87.19,70.0,75.0,131,0.91,IMPROVING,26161
2025-01-27,1-1 IN BN,software_engineering,83.56,92.58,70.0,75.0,187,0.96,DECLINING,14313
2025-01-27,3-1 FA BN,software_engineering,83.95,75.76,70.0,75.0,457,0.91,IMPROVING,12849
2025-01-28,BSB 1BCT,software_engineering,66.34,80.67,70.0,75.0,255,0.91,STABLE,18961
2025-01-28,1-1 IN BN,software_engineering,68.23,80.76,70.0,75.0,486,0.95,STABLE,17506
2025-01-28,3-1 FA BN,software_engineering,56.0,91.44,70.0,75.0,122,0.96,DECLINING,28900
2025-01-28,BEB 1BCT,software_engineering,90.86,89.99,70.0,75.0,167,0.9,DECLINING,39868
2025-01-28,2-1 IN BN,software_engineering,85.75,91.04,70.0,75.0,322,0.98,STABLE,10006
2025-01-29,1-1 IN BN,software_engineering,91.98,84.71,70.0,75.0,490,0.93,IMPROVING,21827
2025-01-29,2-1 IN BN,software_engineering,81.84,83.06,70.0,75.0,445,0.91,DECLINING,42933
2025-01-29,BEB 1BCT,software_engineering,81.98,83.62,70.0,75.0,480,0.9,STABLE,32792
2025-01-29,3-1 FA BN,software_engineering,86.58,75.58,70.0,75.0,121,0.92,DECLINING,9313
2025-01-30,3-1 FA BN,software_engineering,66.19,79.94,70.0,75.0,469,0.92,DECLINING,22059
2025-01-30,2-1 IN BN,software_engineering,70.42,70.51,70.0,75.0,106,0.95,DECLINING,1486
2025-01-30,1-1 IN BN,software_engineering,70.14,89.47,70.0,75.0,302,0.9,STABLE,42552
2025-01-30,BEB 1BCT,software_engineering,63.42,87.05,70.0,75.0,156,0.98,IMPROVING,39594
2025-01-31,3-1 FA BN,software_engineering,64.76,90.71,70.0,75.0,390,0.93,STABLE,19018
2025-01-31,1-1 IN BN,software_engineering,88.6,83.42,70.0,75.0,375,0.95,STABLE,49184
2025-01-31,2-1 IN BN,software_engineering,67.28,79.11,70.0,75.0,428,0.95,STABLE,46840
2025-01-31,BSB 1BCT,software_engineering,55.31,85.46,70.0,75.0,119,0.94,IMPROVING,2178
2025-01-31,BEB 1BCT,software_engineering,74.39,73.72,70.0,75.0,296,0.91,DECLINING,12028
2025-02-01,3-1 FA BN,software_engineering,74.6,76.74,70.0,75.0,349,0.94,DECLINING,11421
2025-02-01,2-1 IN BN,software_engineering,86.32,94.28,70.0,75.0,54,0.97,DECLINING,13016
2025-02-01,BEB 1BCT,software_engineering,62.14,91.39,70.0,75.0,375,0.94,STABLE,30309
2025-02-01,BSB 1BCT,software_engineering,80.81,87.27,70.0,75.0,351,0.97,IMPROVING,43344
