date,unit,domain,metric_primary,metric_secondary,threshold_primary,threshold_secondary,sample_size,confidence_interval,trend,records_analyzed
2025-01-01,BEB 1BCT,ml_engineering,87.3,92.5,70.0,75.0,141,0.94,STABLE,29180
2025-01-01,3-1 FA BN,ml_engineering,56.69,71.98,70.0,75.0,163,0.92,IMPROVING,42810
2025-01-01,1-1 IN BN,ml_engineering,61.46,89.5,70.0,75.0,81,0.91,IMPROVING,34938
2025-01-02,3-1 FA BN,ml_engineering,90.04,80.28,70.0,75.0,468,0.92,IMPROVING,36072
2025-01-02,BSB 1BCT,ml_engineering,98.54,70.87,70.0,75.0,114,0.98,IMPROVING,42871
2025-01-02,1-1 IN BN,ml_engineering,53.29,84.04,70.0,75.0,334,0.98,IMPROVING,32705
2025-01-02,BEB 1BCT,ml_engineering,78.63,71.33,70.0,75.0,432,0.99,IMPROVING,8921
2025-01-03,2-1 IN BN,ml_engineering,59.43,65.23,70.0,75.0,151,0.9,DECLINING,5029
2025-01-03,3-1 FA BN,ml_engineering,101.14,80.94,70.0,75.0,124,0.91,IMPROVING,47945
2025-01-03,1-1 IN BN,ml_engineering,79.14,76.56,70.0,75.0,201,0.96,STABLE,15195
2025-01-03,BEB 1BCT,ml_engineering,98.68,66.68,70.0,75.0,228,0.97,STABLE,46333
2025-01-04,BSB 1BCT,ml_engineering,68.05,70.49,70.0,75.0,293,0.91,STABLE,47515
2025-01-04,1-1 IN BN,ml_engineering,66.42,75.27,70.0,75.0,254,0.94,STABLE,27654
2025-01-04,3-1 FA BN,ml_engineering,70.32,90.48,70.0,75.0,420,0.96,DECLINING,16370
2025-01-04,2-1 IN BN,ml_engineering,82.09,93.07,70.0,75.0,58,0.9,DECLINING,25028
2025-01-04,BEB 1BCT,ml_engineering,91.21,95.34,70.0,75.0,479,0.93,IMPROVING,45201
2025-01-05,3-1 FA BN,ml_engineering,78.6,82.46,70.0,75.0,88,0.97,IMPROVING,41879
2025-01-05,2-1 IN BN,ml_engineering,71.16,71.51,70.0,75.0,235,0.96,STABLE,45024
2025-01-05,BSB 1BCT,ml_engineering,75.16,82.56,70.0,75.0,108,0.93,DECLINING,39452
2025-01-05,1-1 IN BN,ml_engineering,94.73,91.49,70.0,75.0,218,0.9,DECLINING,7303
2025-01-05,BEB 1BCT,ml_engineering,86.61,82.19,70.0,75.0,474,0.98,STABLE,1584
2025-01-06,BEB 1BCT,ml_engineering,82.37,85.54,70.0,75.0,342,0.96,DECLINING,18147
2025-01-06,1-1 IN BN,ml_engineering,89.75,65.47,70.0,75.0,356,0.94,DECLINING,14323
2025-01-07,3-1 FA BN,ml_engineering,66.83,79.99,70.0,75.0,301,0.98,DECLINING,13248
2025-01-07,BEB 1BCT,ml_engineering,87.16,86.52,70.0,75.0,291,0.95,STABLE,26192
2025-01-07,BSB 1BCT,ml_engineering,76.21,97.01,70.0,75.0,308,0.98,DECLINING,26384
2025-01-08,2-1 IN BN,ml_engineering,107.71,94.15,70.0,75.0,303,0.96,DECLINING,27716
2025-01-08,BEB 1BCT,ml_engineering,69.02,82.09,70.0,75.0,315,0.91,STABLE,36305
2025-01-08,1-1 IN BN,ml_engineering,63.17,93.71,70.0,75.0,353,0.98,DECLINING,33640
2025-01-08,3-1 FA BN,ml_engineering,70.2,74.2,70.0,75.0,70,0.97,DECLINING,49145
2025-01-09,1-1 IN BN,ml_engineering,84.73,82.09,70.0,75.0,432,0.93,IMPROVING,21947
2025-01-09,BSB 1BCT,ml_engineering,77.27,80.91,70.0,75.0,442,0.93,IMPROVING,10387
2025-01-09,3-1 FA BN,ml_engineering,69.08,80.11,70.0,75.0,383,0.92,IMPROVING,43268
2025-01-10,2-1 IN BN,ml_engineering,89.79,65.49,70.0,75.0,245,0.95,IMPROVING,1843
2025-01-10,3-1 FA BN,ml_engineering,78.52,81.48,70.0,75.0,419,0.9,IMPROVING,35493
2025-01-10,BEB 1BCT,ml_engineering,81.88,70.37,70.0,75.0,83,0.95,DECLINING,8468
2025-01-11,3-1 FA BN,ml_engineering,82.97,90.19,70.0,75.0,168,0.93,STABLE,5225
2025-01-11,1-1 IN BN,ml_engineering,62.39,94.2,70.0,75.0,357,0.97,DECLINING,45757
2025-01-12,BEB 1BCT,ml_engineering,83.92,81.91,70.0,75.0,162,0.96,STABLE,28832
2025-01-12,2-1 IN BN,ml_engineering,92.48,87.24,70.0,75.0,251,0.92,DECLINING,2620
2025-01-13,2-1 IN BN,ml_engineering,69.19,72.47,70.0,75.0,84,0.93,DECLINING,20863
2025-01-13,BEB 1BCT,ml_engineering,79.74,63.34,70.0,75.0,181,0.97,IMPROVING,23772
2025-01-14,1-1 IN BN,ml_engineering,92.99,78.45,70.0,75.0,158,0.96,DECLINING,17024
2025-01-14,BEB 1BCT,ml_engineering,91.51,80.58,70.0,75.0,304,0.98,DECLINING,30351
2025-01-14,BSB 1BCT,ml_engineering,67.7,75.5,70.0,75.0,121,0.91,DECLINING,9178
2025-01-15,2-1 IN BN,ml_engineering,62.87,81.31,70.0,75.0,492,0.93,IMPROVING,48741
2025-01-15,BSB 1BCT,ml_engineering,92.44,88.88,70.0,75.0,268,0.94,IMPROVING,34363
2025-01-15,3-1 FA BN,ml_engineering,62.91,80.24,70.0,75.0,114,0.96,DECLINING,15204
2025-01-15,1-1 IN BN,ml_engineering,67.59,83.17,70.0,75.0,328,0.95,DECLINING,44697
2025-01-16,1-1 IN BN,ml_engineering,90.19,70.38,70.0,75.0,132,0.94,STABLE,12265
2025-01-16,BEB 1BCT,ml_engineering,68.59,77.21,70.0,75.0,271,0.94,DECLINING,46293
2025-01-16,3-1 FA BN,ml_engineering,59.48,79.03,70.0,75.0,402,0.92,DECLINING,27023
