date,unit,domain,metric_primary,metric_secondary,threshold_primary,threshold_secondary,sample_size,confidence_interval,trend,records_analyzed
2025-01-01,3-1 FA BN,ux_design,72.35,85.18,70.0,75.0,353,0.95,DECLINING,30350
2025-01-01,BEB 1BCT,ux_design,103.22,81.85,70.0,75.0,389,0.99,DECLINING,22473
2025-01-01,2-1 IN BN,ux_design,74.24,80.61,70.0,75.0,497,0.92,DECLINING,16554
2025-01-02,2-1 IN BN,ux_design,69.38,57.01,70.0,75.0,253,0.99,DECLINING,10890
2025-01-02,BSB 1BCT,ux_design,70.96,83.17,70.0,75.0,476,0.98,IMPROVING,22578
2025-01-02,3-1 FA BN,ux_design,101.93,82.71,70.0,75.0,249,0.99,IMPROVING,4139
2025-01-02,1-1 IN BN,ux_design,64.52,67.87,70.0,75.0,457,0.97,DECLINING,4629
2025-01-03,3-1 FA BN,ux_design,79.1,81.37,70.0,75.0,349,0.94,DECLINING,17903
2025-01-03,BSB 1BCT,ux_design,82.4,59.6,70.0,75.0,432,0.96,DECLINING,6367
2025-01-04,1-1 IN BN,ux_design,93.84,83.81,70.0,75.0,312,0.91,IMPROVING,35790
2025-01-04,2-1 IN BN,ux_design,85.78,70.58,70.0,75.0,242,0.97,DECLINING,4357
2025-01-04,BEB 1BCT,ux_design,76.62,67.86,70.0,75.0,412,0.97,STABLE,32330
2025-01-05,2-1 IN BN,ux_design,91.45,84.45,70.0,75.0,320,0.91,DECLINING,31553
2025-01-05,BEB 1BCT,ux_design,83.53,78.1,70.0,75.0,261,0.98,STABLE,21775
2025-01-05,1-1 IN BN,ux_design,74.27,76.99,70.0,75.0,120,0.91,IMPROVING,35754
2025-01-06,2-1 IN BN,ux_design,76.13,83.21,70.0,75.0,422,0.99,STABLE,8966
2025-01-06,1-1 IN BN,ux_design,70.7,80.35,70.0,75.0,372,0.96,DECLINING,15637
2025-01-06,BEB 1BCT,ux_design,78.3,75.9,70.0,75.0,261,0.92,IMPROVING,46238
2025-01-07,BEB 1BCT,ux_design,89.06,74.3,70.0,75.0,83,0.94,STABLE,29478
2025-01-07,2-1 IN BN,ux_design,71.58,95.06,70.0,75.0,125,0.92,DECLINING,44674
2025-01-07,BSB 1BCT,ux_design,89.23,84.3,70.0,75.0,166,0.96,STABLE,10169
2025-01-07,1-1 IN BN,ux_design,78.54,70.4,70.0,75.0,375,0.97,STABLE,7664
2025-01-07,3-1 FA BN,ux_design,86.43,94.91,70.0,75.0,173,0.94,STABLE,40650
2025-01-08,2-1 IN BN,ux_design,85.36,75.43,70.0,75.0,181,0.92,DECLINING,35094
2025-01-08,BEB 1BCT,ux_design,69.56,100.09,70.0,75.0,460,0.98,DECLINING,29128
2025-01-08,BSB 1BCT,ux_design,77.04,67.13,70.0,75.0,272,0.95,IMPROVING,5874
2025-01-08,1-1 IN BN,ux_design,63.41,99.85,70.0,75.0,163,0.9,STABLE,2593
2025-01-09,3-1 FA BN,ux_design,52.19,82.03,70.0,75.0,212,0.96,DECLINING,45224
2025-01-09,BSB 1BCT,ux_design,65.09,69.6,70.0,75.0,444,0.96,STABLE,46783
2025-01-10,BSB 1BCT,ux_design,100.68,85.82,70.0,75.0,345,0.91,IMPROVING,2036
2025-01-10,BEB 1BCT,ux_design,72.84,73.87,70.0,75.0,249,0.99,STABLE,12029
2025-01-10,3-1 FA BN,ux_design,80.61,83.35,70.0,75.0,420,0.99,STABLE,48503
2025-01-11,2-1 IN BN,ux_design,80.24,88.87,70.0,75.0,87,0.95,IMPROVING,12482
2025-01-11,BEB 1BCT,ux_design,67.08,74.88,70.0,75.0,367,0.95,STABLE,31697
2025-01-12,BSB 1BCT,ux_design,90.96,60.81,70.0,75.0,486,0.95,STABLE,5420
2025-01-12,2-1 IN BN,ux_design,59.15,75.48,70.0,75.0,124,0.92,STABLE,18657
2025-01-12,3-1 FA BN,ux_design,73.06,77.15,70.0,75.0,295,0.96,STABLE,30887
