Line #	Activity	Description	Performer	ICOM	
1	Initial Request, Meeting, Guidance	Customer provide requirements, details, vision, purpose, guidance, and end-goal	Customer	I:	Mission Need/ Requirement/ Problem Statement
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 2: Articulate the project requirements
				M:	"MS Teams
Product Requirement"
2	Articulate the project requirements	Product Owner and C2DAO/ Deputy C2DAO clearly articulate the operational challenge requiring data-driven insight. Provide clear guidance to Operational Data Team.	"Product Owner
C2DAO/ Deputy C2DAO"	I:	Step 1: Initial Request, Meeting, Guidance
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 3: Facilitate the Problem Framing
				M:	"MS Teams
Product Requirement/ Problem Statement"
3	Facilitate the Problem Framing	DEC OPS Branch Chief and Project Lead facilitates the understanding of the decision context, gather relevant knowledge, and ensure alignment with organizational objectives. Provide guidance, requirements, and vision to Operational Data Team.	"DEC OPS Branch Chief
Project Lead"	I:	Step 2: Articulate the project requirements
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 4: Perform Problem Frame Tasks
				M:	"MS Teams
Product Requirement/ Problem Statement/ Problem Framing Intake"
4	Perform Problem Frame Tasks	"(Collaborative Meeting/ Discussion)
Teams conduct preliminary research relating to the problem framing. Dive deep on the problem statement and explore any/all possible solutions.

KM- Assess resources and knowledge related to problem framing. 
BA/BPR- Assess resources and processes related to problem framing.
Data Analyst- Preliminary data/information exploration to assess resources/process related to problem framing.
ORSA/Data Scientist- Develop a preliminary analytical plan outlining the proposed available data and resources. Propose analytical approaches.
Data Engineer- Preliminary data exploration to assess resources related to problem framing 
SPO/Web Dev- Assess the feasibility of each approach based on available data and resources. Collaborate with Data  Scientist and Data Engineer relating to the problem framing
Training & Support Team- TBD
Data Management Team- TBD
Cyber Security Team- TBD

"	"KM Specialist
BA/BPR
Data Analyst SME
ORSA/Data Scientist SME
Data Engineer SME
SPO/Web Developer
Training & Support Team
Data Management Team
Cyber Security Team"	I:	Step 3: Facilitate the Problem Framing
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 5: Draft Problem Frame Documents
				M:	"MS Teams
Product Requirement/ Problem Statement/ Problem Framing Intake/ Success Criteria/ Initial Data Assessment"
5	Draft Problem Frame Documents and Project Charter	Project Lead leads the team colaboration, gather all product, drafts Problem Frame Docs and Project Charter. Submit to DEC OPS Branch Chief for review and approval	Project Lead	I:	Step 4: Perform Problem Frame Tasks
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 6: Review/Submit Problem Framing Documents
				M:	"MS Teams
Project Charter/ Problem Statement/ Analytic Approach Doc./ Success Criteria/ Plemininary Data Assessment"
6	Review/Submit Problem Framing Documents	DEC OPS Branch Chief reviews and submits Problem Statement, Analytical Approach Document, Preliminary Data Assessment to C2DAO/ Deputy C2DAO	DEC OPS Branch Chief	I:	Step 5: Draft Problem Frame Documents
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 7: Review/Submit Problem Framing Documents
				M:	"MS Teams
Project Charter/ Problem Statement/ Analytic Approach Doc./ Success Criteria/ Plemininary Data Assessment"
7	Review/Submit Problem Framing Documents	C2DAO/ Deputy C2DAO reviews and submits Problem Statement, Analytical Approach Document, Preliminary Data Assessment to Customer and Product Owner for approval	C2DAO/ Deputy C2DAO	I:	Step 6: Review/Submit Problem Framing Documents
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 8: Project Charter Approved?
				M:	"MS Teams
Project Charter/ Problem Statement/ Analytic Approach Doc./ Success Criteria/ Plemininary Data Assessment"
8	Project Charter Approved?	"Decision Point:
Customer and Product Owner reviews the Project Charter (Problem Statement, Analytical Approach Document, and Preliminary Data Assessment) to ensure project is on track. 

Project Charter Approved?
If Yes, proceed to Step 9
If No, proceed to Step 2"	"Customer
Product Owner"	I:	Step 7: Review/Submit Problem Framing Documents
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	"Yes, Step 9: Perform Toll Gate Review
No, Step 2: Articulate the project requirements"
				M:	"MS Teams
Approved Project Charter/ Problem Statement/ Analytic Approach Doc./ Success Criteria/ Plemininary Data Assessment"
9	Perform Toll Gate Review	"DEC OPS Branch Chief and Project Lead performs toll gate review using DDOF checklist questions.
-What specific problem does this project aim to solve, and how was it framed?
-What assumptions were made, and have they been validated?
-How were stakeholders involved in defining the scope and expected outcomes of the project?
-Define success criteria: What constitutes a successful solution?"	"DEC OPS Branch Chief
Project Lead"	I:	Step 8: Problem Statement/ Documents Approved?
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 10: Log Phase details into DDOF Builder App
				M:	"MS Teams
DDOF Checklist"
10	Log Phase details into DDOF Builder App	Project Lead capture Problem Framing Details and Artifacts in DDOF Builder App 	Project Lead	I:	Step 9: Perform Toll Gate Review
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 11: Does Data Product exist in ADC?
				M:	"DDOF Builder App
Approved Project Charter/ Problem Statement/ Analytic Approach Doc./ Success Criteria/ Plemininary Data Assessment"
11	Does Data Product exist in ADC?  	"Decision Point:
DEC OPS verifies Army Data Catalog if Data Product exists. Does Data Product exist is ADC?

If Yes, proceed to Step 14
If No, proceed to Step 12"	DEC OPS Branch Chief	I:	Step 10: Log Phase details into DDOF Builder App
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	"Yes, Step 14: Use existing Data Product from Army Data Catalog as foundation
No, Step 12: Does Data Product meet requirement for  ADC?"
				M:	"MS Teams
DDOF Checklist"
12	Does Data Product meet requirement for  ADC? 	"Decision Point:
DEC OPS verifies if Data Product meets requirements for Army Data Catalog. Does Data Product meet requirement for  ADC? 

If Yes, proceed to Step 13
If No, proceed to Step 15"	DEC OPS Branch Chief	I:	Step 9: Perform Toll Gate Review
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	"Yes, Step 13: Submit Project Chater into Army Data Catalog
No, Step 15: Initiate Data Provisioning Phase"
				M:	"DDOF Builder App
Approved Project Charter/ Problem Statement/ Analytic Approach Doc./ Success Criteria/ Plemininary Data Assessment"
13	Submit Project Chater into Army Data Catalog	C2DAO/ Deputy C2DAO submits Approved Project Charted for Army Data Catalog.	C2DAO/ Deputy C2DAO	I:	Step 12: Does Data Product meet requirement for  ADC?
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 15: Initiate Data Provisioning Phase
				M:	"MS Teams
Approved Project Charter/ Problem Statement/ Analytic Approach Doc./ Success Criteria/ Plemininary Data Assessment"
14	Use existing Data Product from Army Data Catalog as foundation	Project Lead gathers all information on existing Data Product for use in project.	Project Lead	I:	Step 11: Does Data Product exist in ADC?
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 15: Initiate Data Provisioning Phase
				M:	"MS Teams
Approved Project Charter/ Problem Statement/ Analytic Approach Doc./ Success Criteria/ Plemininary Data Assessment"
15	Initiate Data Provisioning Phase	DEC OPS Branch Chief and Project Lead initiates Data Provisioning Phase	"DEC OPS Branch Chief
Project Lead"	I:	"Step 12: Does Data Product meet requirement for  ADC?
Step 13: Submit Project Chater into Army Data Catalog
Step 14: Use existing Data Product from Army Data Catalog as foundation"
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 12: Facilitate Data Wrangling Phase/ Coordinate with Data Stewards
				M:	"MS Teams/ Vantage/ SPO
Approved Project Charter/ Approved Problem Statement/ Analytical Approach Doc./ Success Criteria/ Plemininary Data Assessment"
16	Facilitate Data Wrangling Phase/ Coordinate with Data Stewards	Project Lead facilitates the capturing of initial or existing data. Coordinate with Data Stewards/ Collaborate with Data Scientist to establish DUAs/ Overall Project Responsibility	Project Lead	I:	Step 15: Initiate Data Provisioning Phase
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	"Step 17a: Perform KM functions
Step 17b: Perform BA/BPR functions
Step 17c: Assist Data SMEs
Step 17d: Connect new data 
Step 17e: Grant access/ Establish new DUA"
				M:	"MS Teams/ Vantage/ SPO
Approved Problem Statement/ Analytical Approach Doc./ Success Criteria/ Plemininary Data Assessment"
17a	Perform KM functions	"Identify Knowledge Caps- Figure out what knowledge doesn't exist within the organization that should; 
Elicit Knowledge- Interview SMEs to document their expertise; 
Content Creation- Turn expertise into usable formats; 
Create Knowledge Map"	KM Specialist	I:	Step 16: Facilitate Data Wrangling Phase/ Coordinate with Data Stewards
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 18: Validate key data sources
				M:	"MS Teams/ Vantage/ SPO
Knowledge Map/ Data & Content Analysis/ SME Interview/ Change Management Plan"
17b	Perform BA/BPR functions	"Elicit Knowledge- Interview SMEs to document their expertise; Identify key data sources and assist in validating the accuracy / completeness of authoritative data; 
Identify and Document Current Process;
Create As-Is Process Map"	BA/BPR Specialist	I:	Step 16: Facilitate Data Wrangling Phase/ Coordinate with Data Stewards
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 18: Validate key data sources
				M:	"MS Teams/ Vantage/ SPO
As-Is Process Map/ Data Source Map/ SME Interview/ User Stories"
17c	Assist Data SMEs	SPO/ Web Developer assist stakeholders and Data SMEs as needed	SPO/Web Developer	I:	Step 16: Facilitate Data Wrangling Phase/ Coordinate with Data Stewards
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 18: Validate key data sources
				M:	MS Teams/ Vantage/ SPO
17d	Connect new data	Vantage Support Team- Connect new data to Vantage to facilitate new product	Vantage Support Team	I:	Step 16: Facilitate Data Wrangling Phase/ Coordinate with Data Stewards
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 18: Validate key data sources
				M:	"Vantage
DUA/ Data Access Plan"
17e	Grant access/ Establish new DUA	Data Owner grants access to Project Lead if DUA is already in place. Establish new DUA if necessary.	Data Owner	I:	Step 16: Facilitate Data Wrangling Phase/ Coordinate with Data Stewards
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 18: Validate key data sources
				M:	"MS Teams/ Vantage/ SPO
Data Access Plan/ DUA"
